transaction_id,timestamp,blockchain,transaction_type,sender_wallet_age_days,receiver_wallet_age_days,transaction_amount_usd,gas_fee_usd,token_type,platform,num_prev_transactions_sender,num_prev_transactions_receiver,avg_txn_interval_sender_min,is_cross_chain,failed_txn_ratio_sender,velocity_score,anomaly_score,is_scam
TX000033,1703474675,BSC,Burn,7,926,247.79,7.51,Stablecoin,BridgeX,1234,971,77.8,0,0.2,-0.04,0.0,1
TX000034,1702652991,Polygon,Swap,33,53,180.54,9.37,Meme,Unknown DEX,1184,1037,236.4,0,0.04,-0.02,0.06,0
TX000035,1702428388,BSC,Burn,345,552,184.75,3.64,Native,BridgeX,1187,1005,43.3,0,0.07,0.04,0.02,0
TX000036,1700528178,Ethereum,Mint,539,129,195.58,10.67,ERC20,Kraken,1165,1040,182.6,0,0.17,0.0,0.19,0
TX000037,1702663046,Polygon,Bridge,1305,23,1720.41,9.51,ERC20,Coinbase,1253,960,243.4,1,0.09,-0.04,0.0,0
TX000038,1702586644,Polygon,Bridge,2409,150,188.76,3.76,Native,Unknown DEX,1240,1022,564.5,0,0.05,-0.01,0.08,0
TX000039,1702570406,Solana,Bridge,2358,258,1072.27,10.81,ERC20,BridgeX,1207,1010,33.3,0,0.09,0.05,0.05,0
TX000040,1703416664,BSC,Swap,489,77,29.42,4.52,Meme,Binance,1161,1021,95.0,0,0.06,-0.11,0.0,0
TX000041,1703385659,Ethereum,Mint,21,52,550.69,3.4,Stablecoin,Binance,1231,966,148.4,0,0.05,0.01,0.04,0
TX000042,1703385357,Ethereum,Mint,144,2537,144.62,23.79,Native,Coinbase,1180,1012,170.2,0,0.17,0.08,0.2,0
TX000043,1702795513,Polygon,Burn,341,41,16.1,3.0,Meme,Kraken,1187,1011,1061.0,0,0.16,-0.01,0.18,0
TX000044,1701465689,Ethereum,Mint,1270,105,74.12,24.0,Stablecoin,Coinbase,1158,1004,149.7,0,0.33,0.02,0.24,1
TX000045,1700068148,Solana,Bridge,13,145,337.44,25.29,Stablecoin,OpenSea,1193,969,74.2,0,0.08,0.09,0.25,0
TX000046,1701825665,Ethereum,Mint,427,190,915.01,18.48,Native,Binance,1161,989,295.9,0,0.07,-0.03,0.15,0
TX000047,1702745683,Solana,Burn,635,70,894.78,8.88,Meme,Binance,1338,1011,77.6,0,0.02,0.07,0.15,0
TX000048,1703397723,Polygon,Mint,204,915,2078.96,32.11,Meme,Unknown DEX,1190,1020,58.7,0,0.19,-0.1,0.13,0
TX000049,1703003758,Solana,Mint,227,1292,184.1,22.18,Meme,Binance,1208,1049,170.9,0,0.02,-0.04,0.0,0
TX000050,1704056518,Ethereum,Bridge,295,398,512.28,2.19,Stablecoin,BridgeX,1267,996,43.0,0,0.15,0.05,0.05,0
TX000051,1702669995,BSC,Mint,192,418,1484.72,4.19,Native,Unknown Wallet,1189,1012,264.4,0,0.16,-0.07,0.04,0
TX000052,1704450812,Ethereum,Swap,344,2540,1846.36,7.21,Native,,1211,1008,77.2,1,0.18,0.03,0.15,0
TX000053,1704997895,Ethereum,Burn,103,1076,1023.65,1.18,Stablecoin,Unknown DEX,1149,1013,53.5,1,0.16,-0.07,0.19,0
TX000054,1704798669,Ethereum,Burn,133,261,1433.76,6.41,Native,Kraken,1174,1004,19.4,0,0.05,0.11,0.07,0
TX000055,1701870928,Polygon,Burn,22,711,467.1,20.57,Native,Coinbase,1200,987,4844.7,0,0.04,0.03,0.0,1
TX000056,1704155299,Ethereum,Mint,317,154,359.04,9.3,Meme,OpenSea,1217,994,307.9,0,0.08,-0.03,0.06,0
TX000057,1702557489,Solana,Swap,737,26,131.32,4.45,Native,Binance,1201,988,254.8,0,0.49,0.04,0.19,0
TX000058,1701773415,Ethereum,Burn,423,11,151.36,7.19,Native,Binance,1251,1036,40.9,0,0.14,-0.07,0.05,0
TX000059,1702305413,Ethereum,Transfer,453,387,532.53,10.64,Meme,Unknown DEX,1233,995,112.4,0,0.34,0.04,0.17,1
TX000060,1703910197,Ethereum,Bridge,358,346,77.05,15.75,Meme,Binance,1202,965,110.6,0,0.03,0.0,0.0,0
TX000061,1700271836,Polygon,Transfer,527,81,1483.05,8.33,ERC20,Unknown Wallet,1169,1017,791.7,0,0.04,0.03,0.0,0
TX000062,1703584702,Ethereum,Transfer,156,959,445.88,7.98,Meme,Unknown DEX,1145,990,21.1,1,0.2,0.02,0.15,0
TX000063,1702095505,Solana,Burn,139,437,1973.31,13.96,Stablecoin,BridgeX,1210,993,167.5,0,0.16,0.07,0.25,0
TX000064,1702299435,BSC,Transfer,1708,240,286.76,7.07,Meme,Kraken,1158,987,141.4,1,0.12,-0.01,0.04,0
TX000065,1700196769,Solana,Transfer,359,352,310.84,5.64,ERC20,Kraken,1194,1020,51.5,0,0.12,0.01,0.03,0
TX000066,1702658505,Ethereum,Swap,1053,51,195.84,6.02,Native,Unknown DEX,1188,980,208.4,0,0.07,-0.06,0.0,0
TX000067,1701271741,BSC,Bridge,1492,1150,151.87,1.92,ERC20,Kraken,1226,1001,106.9,0,0.05,-0.04,0.03,0
TX000068,1703769315,Polygon,Mint,572,171,361.46,6.32,Meme,Binance,1171,1038,256.2,0,0.13,0.02,0.12,0
TX000069,1701046797,Polygon,Burn,212,95,823.14,17.31,Meme,Coinbase,1168,1077,313.6,0,0.12,0.01,0.08,0
TX000070,1703047262,BSC,Burn,683,277,277.14,11.21,Stablecoin,OpenSea,1159,1027,80.9,0,0.21,0.08,0.02,0
TX000071,1701584398,Solana,Transfer,338,165,646.75,26.96,Stablecoin,Coinbase,1223,1040,381.7,0,0.19,-0.0,0.0,0
TX000072,1702585031,Ethereum,Mint,2168,183,139.99,17.77,ERC20,Binance,1210,1004,167.6,0,0.11,0.05,0.18,0
TX000073,1700564685,Polygon,Mint,1000,869,73.06,29.51,ERC20,OpenSea,1236,961,369.7,0,0.03,-0.05,0.0,0
TX000074,1702879190,Ethereum,Mint,1012,395,1118.86,13.21,Native,Unknown DEX,1205,1019,475.1,1,0.13,-0.07,0.18,0
TX000075,1701311736,Ethereum,Burn,533,1342,2190.99,8.39,ERC20,,1204,938,95.3,0,0.09,0.05,0.01,0
TX000076,1701007293,Ethereum,Burn,5,1501,769.12,5.46,Meme,Binance,1215,994,522.4,0,0.09,0.07,0.0,0
TX000077,1704774183,Solana,Swap,1069,2386,77.12,1.69,Stablecoin,Unknown Wallet,1228,1041,396.6,0,0.09,-0.0,0.01,0
TX000078,1703366612,Solana,Burn,15,70,318.45,7.87,Native,Kraken,1204,1005,441.8,0,0.18,0.07,0.12,0
TX000079,1700023247,Ethereum,Burn,78,1135,187.92,2.57,Meme,Binance,1208,966,44.2,0,0.07,0.08,0.0,0
TX000080,1702704238,Solana,Swap,1094,174,431.83,6.05,Native,Coinbase,1200,1046,50.2,0,0.16,-0.01,0.03,0
TX000081,1702630708,BSC,Burn,148,496,110.56,0.73,Meme,Coinbase,1237,979,31.7,0,0.18,-0.02,0.0,0
TX000082,1703494679,Polygon,Transfer,1103,1051,1428.18,10.0,Native,Coinbase,1186,978,188.6,0,0.16,-0.04,0.07,0
TX000083,1701767640,Ethereum,Transfer,161,48,283.38,5.04,Meme,Binance,1193,1012,176.5,0,0.19,0.05,0.06,0
TX000084,1702613740,BSC,Swap,883,82,843.47,2.2,Meme,BridgeX,1183,1005,200.9,0,0.07,-0.04,0.05,0
TX000085,1701285160,Ethereum,Swap,468,660,827.07,6.88,Native,BridgeX,1184,1055,174.3,0,0.07,0.02,0.05,0
TX000086,1701425472,Ethereum,Transfer,667,212,318.78,10.28,ERC20,BridgeX,1246,986,135.8,0,0.03,0.02,0.0,0
TX000087,1700048984,BSC,Mint,1092,532,80.56,23.11,Stablecoin,Unknown DEX,1170,983,70.5,0,0.03,-0.07,0.0,0
TX000088,1702400070,Polygon,Burn,2482,60,2040.39,11.53,Native,Kraken,1164,1016,338.6,0,0.14,-0.0,0.0,0
TX000089,1703265879,BSC,Bridge,53,1794,3179.52,,Native,OpenSea,1252,1027,125.2,0,0.13,0.01,0.21,0
TX000090,1701504384,Solana,Bridge,693,347,207.68,8.62,Native,Unknown DEX,1229,953,276.6,0,0.05,-0.01,0.1,0
TX000091,1702230919,Polygon,Swap,1912,1022,101.11,6.28,Stablecoin,Binance,1161,944,68.6,0,0.14,0.01,0.19,0
TX000092,1701752126,Ethereum,Bridge,280,561,1901.89,5.18,Meme,Kraken,1243,1029,39.7,1,0.16,0.16,0.0,0
TX000093,1704330634,Ethereum,Mint,243,1515,322.34,3.74,Meme,Coinbase,1173,1030,250.7,0,0.02,-0.03,0.03,0
TX000094,1701737095,Polygon,Bridge,683,422,136.86,14.53,Meme,Kraken,1205,963,52.8,0,0.27,0.07,0.29,0
TX000095,1702111138,Solana,Transfer,308,182,108.12,8.29,ERC20,Kraken,1193,1023,165.7,0,0.18,0.08,0.2,0
TX000096,1704780450,Solana,Swap,144,475,1049.28,18.96,Meme,Binance,1160,958,195.8,0,0.26,-0.05,0.29,0
TX000097,1702109818,Polygon,Bridge,105,2885,280.71,9.28,Stablecoin,BridgeX,1201,1016,126.6,0,0.19,0.03,0.24,0
TX000098,1702231785,BSC,Burn,128,844,960.56,,Stablecoin,Kraken,1228,989,488.1,1,0.37,-0.01,0.04,0
TX000099,1704483302,Polygon,Swap,731,303,269.86,2.2,Native,Unknown DEX,1196,1035,229.7,0,0.17,0.03,0.0,0
TX000100,1702948089,Ethereum,Mint,1505,847,91.03,6.45,Meme,Coinbase,1170,1005,125.0,0,0.1,0.0,0.08,0
TX000101,1702725928,Ethereum,Transfer,983,606,299.73,5.16,Meme,OpenSea,1249,1020,87.8,0,0.19,-0.08,0.06,0
TX000102,1703853339,Polygon,Bridge,356,1396,72.16,3.18,ERC20,Coinbase,1226,1008,129.6,0,0.41,0.02,0.29,0
TX000103,1701843400,Solana,Transfer,451,226,350.08,,Stablecoin,Binance,1160,1021,107.4,1,0.21,0.03,0.05,0
TX000104,1701079111,Solana,Mint,580,20,158.74,4.44,Native,Kraken,1196,987,96.0,0,0.18,-0.02,0.0,0
TX000105,1700996107,Ethereum,Bridge,520,45,151.35,6.9,ERC20,Coinbase,1227,1027,125.4,0,0.02,-0.07,0.0,0
TX000106,1703521441,Polygon,Swap,2074,729,1181.31,6.21,ERC20,Coinbase,1206,946,405.7,0,0.13,0.02,0.18,0
TX000107,1704545583,Solana,Swap,1306,587,357.43,5.42,ERC20,OpenSea,1143,997,571.4,0,0.11,0.01,0.07,0
TX000108,1701870230,BSC,Burn,26,660,37.89,5.34,Stablecoin,Unknown DEX,1158,1014,115.6,0,0.14,0.0,0.03,0
TX000109,1703747389,Ethereum,Mint,1083,550,315.56,8.92,ERC20,Binance,1205,1002,188.8,0,0.09,0.04,0.11,0
TX000110,1704142807,BSC,Bridge,72,305,1470.06,2.82,Native,,1211,978,75.3,0,0.2,0.01,0.21,0
TX000111,1704683874,BSC,Transfer,703,35,1745.24,9.34,Stablecoin,Coinbase,1144,1028,434.7,0,0.27,-0.01,0.19,0
TX000112,1703602279,BSC,Transfer,201,902,654.47,6.07,Native,,1203,973,57.0,0,0.19,0.02,0.19,0
TX000113,1702121690,BSC,Bridge,890,99,167.15,7.57,Native,Unknown Wallet,1181,1011,198.3,0,0.13,-0.1,0.0,0
TX000114,1702991650,Polygon,Mint,5,2296,465.13,13.08,Stablecoin,Binance,1151,1041,115.7,0,0.02,0.02,0.09,1
TX000115,1700491234,Ethereum,Mint,289,114,675.34,0.87,Meme,Coinbase,1240,1036,181.5,0,0.21,-0.01,0.13,0
TX000116,1701948260,Ethereum,Transfer,13,43,2924.69,1.59,ERC20,Coinbase,1178,950,460.7,0,0.1,0.03,0.01,0
TX000117,1704333486,BSC,Bridge,1841,235,142.47,7.59,Stablecoin,Kraken,1179,1016,155.9,1,0.11,0.03,0.06,1
TX000118,1701521101,Ethereum,Bridge,9,196,223.2,30.46,Meme,Kraken,1153,953,60.2,0,0.17,0.0,0.1,1
TX000119,1704378368,Solana,Transfer,101,1878,398.76,4.49,Native,Unknown DEX,1195,1066,176.9,0,0.11,0.07,0.17,0
TX000120,1704408324,Ethereum,Bridge,464,250,160.03,10.76,Stablecoin,OpenSea,1244,1035,129.8,0,0.06,-0.04,0.05,0
TX000121,1703136729,BSC,Bridge,623,23,287.16,3.6,Native,Kraken,1169,982,134.7,0,0.19,0.04,0.05,0
TX000122,1700897421,Solana,Swap,783,2174,222.79,4.38,ERC20,Coinbase,1227,959,66.1,0,0.26,0.0,0.26,0
TX000123,1700122409,Ethereum,Swap,170,771,1645.74,6.14,Stablecoin,,1187,1036,135.9,0,0.04,0.03,0.07,0
TX000124,1702016716,Polygon,Burn,214,3093,477.55,12.25,Stablecoin,Coinbase,1233,974,180.3,1,0.18,0.05,0.36,0
TX000125,1702350770,BSC,Burn,164,191,497.88,6.54,Meme,Binance,1218,1033,675.8,0,0.05,0.03,0.0,0
TX000126,1700769598,Ethereum,Mint,167,62,350.42,11.12,Stablecoin,Binance,1138,1014,84.7,0,0.16,0.03,0.12,0
TX000127,1703267824,Solana,Swap,913,253,164.22,2.3,Meme,Coinbase,1183,1053,23.1,1,0.09,-0.09,0.09,0
TX000128,1703331068,Ethereum,Swap,1773,75,1514.09,3.01,ERC20,Unknown DEX,1185,1003,168.1,0,0.04,-0.03,0.08,0
TX000129,1703256415,BSC,Swap,543,79,672.9,5.18,Stablecoin,Binance,1146,1021,95.0,0,0.15,0.03,0.0,0
TX000130,1700874371,Ethereum,Swap,102,1164,564.93,11.15,Native,Binance,1212,983,162.5,0,0.03,0.03,0.0,0
TX000131,1702832868,Ethereum,Mint,40,2550,1287.23,4.91,Stablecoin,BridgeX,1223,936,216.0,1,0.17,-0.09,0.17,0
TX000132,1703872998,Solana,Transfer,164,2594,246.75,8.89,Stablecoin,Coinbase,1175,1014,345.1,0,0.01,-0.05,0.0,0
TX000133,1700973548,Polygon,Mint,117,288,2392.52,7.36,ERC20,Binance,1169,1022,58.5,0,0.23,0.04,0.23,0
TX000134,1703344014,Ethereum,Transfer,518,136,270.99,8.36,Meme,Unknown Wallet,1227,974,116.5,0,0.21,0.04,0.16,0
TX000135,1701213475,BSC,Burn,718,94,1258.52,6.71,ERC20,Coinbase,1217,1015,257.5,0,0.18,-0.09,0.05,0
TX000136,1703470495,Polygon,Swap,2,240,118.4,3.18,Native,Unknown DEX,1279,967,181.6,0,0.37,-0.07,0.07,1
TX000137,1702959034,Solana,Transfer,347,456,378.68,8.91,Native,OpenSea,1181,964,,0,0.17,0.02,0.05,0
TX000138,1704574293,BSC,Mint,585,680,1298.81,4.8,Stablecoin,Binance,1247,994,183.0,0,0.07,0.03,0.03,0
TX000139,1700043585,Solana,Transfer,128,363,561.5,3.14,Native,Binance,1233,1054,621.1,0,0.02,0.05,0.0,0
TX000140,1703057213,BSC,Bridge,1387,924,2038.3,7.25,Stablecoin,Unknown DEX,1234,982,104.5,0,0.18,-0.05,0.11,0
TX000141,1702539448,Polygon,Burn,477,1260,248.25,2.17,ERC20,OpenSea,1192,1006,110.2,1,0.38,-0.01,0.15,0
TX000142,1700109556,Solana,Burn,254,1084,768.85,14.04,Native,Binance,1247,1033,699.5,1,0.11,0.0,0.1,1
TX000143,1701575557,Ethereum,Swap,11,230,116.42,8.46,Meme,Unknown DEX,1194,993,262.1,1,0.07,-0.0,0.19,1
TX000144,1704027419,Ethereum,Swap,397,1503,796.97,10.85,Native,OpenSea,1237,1037,121.2,0,0.14,-0.05,0.15,0
TX000145,1704394539,Ethereum,Mint,245,1282,366.43,3.2,Meme,Kraken,1151,1074,156.5,1,0.11,0.02,0.0,0
TX000146,1702123091,Ethereum,Transfer,2094,265,106.71,5.93,Meme,BridgeX,1145,1006,104.6,1,0.16,-0.07,0.0,1
TX000147,1702009021,Ethereum,Bridge,285,273,456.26,6.01,Native,Coinbase,1238,983,51.3,1,0.17,-0.01,0.18,0
TX000148,1701201482,Polygon,Burn,1523,40,2052.66,33.54,ERC20,Unknown DEX,1206,952,58.7,0,0.06,0.05,0.0,0
TX000149,1700542335,BSC,Transfer,695,1382,381.33,13.54,Native,BridgeX,1182,1053,10.5,0,0.17,0.08,0.15,0
TX000150,1703433977,Ethereum,Bridge,46,46,601.97,20.36,Native,OpenSea,1234,967,,0,0.02,-0.03,0.0,0
TX000151,1704270070,Ethereum,Transfer,1619,337,468.14,22.92,Meme,Coinbase,1238,997,33.6,0,0.06,0.04,0.0,0
TX000152,1703560920,Ethereum,Swap,110,639,409.41,13.34,Native,BridgeX,1202,1065,110.0,0,0.32,0.01,0.3,1
TX000153,1702484413,BSC,Burn,356,1058,151.87,9.26,Native,Kraken,1235,990,278.7,1,0.11,0.06,0.19,0
TX000154,1702907360,BSC,Bridge,1538,423,667.8,6.89,Meme,Kraken,1193,1075,433.5,0,0.13,-0.04,0.06,0
TX000155,1702782592,Ethereum,Swap,1057,573,156.88,8.28,Stablecoin,Unknown DEX,1182,980,91.0,1,0.03,0.02,0.09,0
TX000156,1702235000,Solana,Mint,401,619,3079.24,9.29,ERC20,Coinbase,1246,941,39.8,0,0.1,-0.06,0.08,0
TX000157,1704322252,BSC,Mint,139,8,138.39,8.34,Native,OpenSea,1143,985,1007.4,0,0.11,0.02,0.17,0
TX000158,1700402690,Solana,Swap,427,1427,1755.2,6.38,Native,Unknown DEX,1201,998,83.5,0,0.06,0.02,0.07,0
TX000159,1704693350,Ethereum,Bridge,475,223,76.71,3.82,Meme,Coinbase,1120,957,241.9,0,0.25,-0.02,0.0,0
TX000160,1702548421,Polygon,Bridge,3472,97,390.36,5.38,Meme,Kraken,1245,986,339.8,0,0.16,-0.06,0.03,0
TX000161,1704216263,BSC,Burn,1042,320,233.34,18.1,Stablecoin,Coinbase,1251,1018,172.7,0,0.41,0.05,0.26,0
TX000162,1703806618,Polygon,Swap,1185,661,160.54,12.96,Native,Kraken,1202,1028,45.5,0,0.08,-0.12,0.0,0
TX000163,1701954109,BSC,Mint,2569,878,850.44,8.03,ERC20,Unknown DEX,1250,996,460.9,0,0.24,0.01,0.2,0
TX000164,1704422880,Solana,Swap,444,635,813.3,6.95,Stablecoin,Kraken,1206,1053,142.4,0,0.07,-0.03,0.06,0
TX000165,1703112754,BSC,Transfer,528,255,92.31,10.66,Native,Unknown Wallet,1217,1026,1977.7,1,0.22,0.02,0.1,0
TX000166,1701384250,Polygon,Bridge,363,572,495.22,2.43,Native,Coinbase,1177,1014,101.1,0,0.21,0.07,0.19,0
TX000167,1704025717,Solana,Transfer,80,282,567.76,5.82,ERC20,Kraken,1216,1034,66.8,0,0.14,0.01,0.0,0
TX000168,1700061087,Polygon,Mint,446,2166,538.0,6.02,ERC20,Coinbase,1184,956,,0,0.32,0.04,0.13,0
TX000169,1701496176,BSC,Bridge,524,2822,326.81,3.98,Native,Kraken,1148,999,894.8,0,0.39,-0.03,0.06,1
TX000170,1701886013,Ethereum,Mint,162,143,151.9,4.09,Stablecoin,Kraken,1228,982,192.5,0,0.03,-0.05,0.14,0
TX000171,1704634096,Solana,Mint,916,330,1807.58,6.26,ERC20,Coinbase,1185,983,877.5,0,0.26,-0.03,0.26,0
TX000172,1700039353,BSC,Mint,79,429,517.93,5.01,Meme,Coinbase,1227,974,212.8,0,0.08,0.11,0.06,0
TX000173,1703360011,BSC,Burn,418,505,109.32,17.78,ERC20,OpenSea,1261,1000,62.6,1,0.08,0.03,0.18,0
TX000174,1704259622,Ethereum,Mint,652,284,2869.14,4.29,Meme,Coinbase,1170,929,413.3,0,0.56,-0.07,0.13,0
TX000175,1704959617,BSC,Mint,33,371,28.44,5.89,Meme,OpenSea,1192,969,209.8,0,0.16,0.06,0.05,0
TX000176,1700416880,Polygon,Transfer,977,404,103.56,9.15,ERC20,Kraken,1169,1028,40.0,1,0.07,-0.0,0.0,0
TX000177,1704965050,BSC,Transfer,217,245,562.28,4.32,Stablecoin,Binance,1181,1010,142.5,0,0.38,0.02,0.21,0
TX000178,1700813168,BSC,Transfer,758,193,261.63,14.53,Meme,Coinbase,1250,1013,371.2,0,0.02,0.0,0.04,0
TX000179,1700225281,Ethereum,Bridge,68,503,492.72,3.69,Native,Unknown DEX,1218,1034,74.5,0,0.01,0.04,0.0,0
TX000180,1703117697,Ethereum,Burn,581,291,252.55,7.36,Meme,Unknown DEX,1192,1027,822.6,0,0.24,0.01,0.13,0
TX000181,1703782875,Polygon,Bridge,488,1790,301.71,4.67,Stablecoin,BridgeX,1152,1029,368.1,1,0.24,0.02,0.24,0
TX000182,1702995765,Ethereum,Burn,97,235,115.84,6.66,ERC20,Binance,1201,931,137.9,0,0.18,0.03,0.36,0
TX000183,1700269536,BSC,Burn,588,108,521.79,4.57,Stablecoin,Unknown DEX,1248,1040,226.2,0,0.16,0.03,0.0,0
TX000184,1704372093,BSC,Swap,705,278,138.7,12.18,ERC20,Kraken,1203,1055,480.3,0,0.11,-0.03,0.2,0
TX000185,1701561729,Solana,Swap,414,534,516.57,4.32,Stablecoin,Coinbase,1201,1008,193.5,0,0.15,0.07,0.12,0
TX000186,1702222809,Ethereum,Swap,518,291,1004.1,5.41,ERC20,Coinbase,1208,988,82.2,0,0.28,0.04,0.28,0
TX000187,1700681669,Ethereum,Burn,1310,168,802.64,9.13,Meme,Kraken,1159,947,203.9,1,0.18,-0.02,0.1,0
TX000188,1703864822,BSC,Burn,717,341,341.05,3.01,Stablecoin,Unknown DEX,1265,948,264.5,0,0.27,-0.05,0.01,0
TX000189,1701119043,BSC,Bridge,1418,296,129.33,27.21,Stablecoin,BridgeX,1211,1015,121.6,1,0.19,-0.04,0.1,0
TX000190,1703329462,Ethereum,Burn,482,1442,156.22,35.18,Native,BridgeX,1157,1003,,0,0.1,0.06,0.04,0
TX000191,1702206903,Polygon,Mint,115,9,222.6,7.6,Stablecoin,Binance,1181,1020,90.0,0,0.07,-0.03,0.04,0
TX000192,1701741093,BSC,Mint,169,251,1721.19,6.89,Native,OpenSea,1219,998,393.8,1,0.17,0.04,0.24,0
TX000193,1702558231,Ethereum,Burn,116,208,295.1,4.46,Stablecoin,Unknown Wallet,1262,955,104.0,0,0.29,0.02,0.08,0
TX000194,1704300385,Ethereum,Mint,245,126,58.79,16.83,Meme,OpenSea,1224,1037,123.8,1,0.25,0.04,0.24,0
TX000195,1703080389,Solana,Burn,389,395,152.92,7.17,Meme,Coinbase,1242,983,112.9,0,0.07,-0.04,0.11,0
TX000196,1701661909,Ethereum,Swap,177,476,1169.02,2.39,ERC20,Unknown DEX,1152,1095,1030.7,0,0.16,-0.04,0.06,0
TX000197,1702656138,Ethereum,Burn,387,5,638.44,8.17,ERC20,BridgeX,1228,926,8.8,0,0.17,0.04,0.0,0
TX000198,1700110078,Ethereum,Swap,271,563,1263.56,23.38,Native,Binance,1236,988,142.2,0,0.06,0.09,0.13,0
TX000199,1701915631,BSC,Transfer,486,241,151.54,3.18,Stablecoin,Coinbase,1172,993,47.6,0,0.42,0.04,0.22,0
TX000200,1701404104,Polygon,Mint,335,1282,387.43,3.64,Meme,,1185,911,475.5,0,0.17,-0.08,0.0,0
TX000201,1702008187,Ethereum,Transfer,341,680,78.23,1.01,Native,Unknown DEX,1231,988,70.6,0,0.26,-0.04,0.2,0
